node,total_bytes_mean,total_bytes_sum,total_bytes_max,total_packets_mean,total_packets_sum,total_packets_max,rule_level_mean,rule_level_max,avg_packet_size_mean,byte_asymmetry_mean,packet_asymmetry_mean,src_port_nunique,dest_port_nunique,proto_num_mean
10.21.232.55,16953.25900900901,7527247.0,828122.0,23.975225225225227,10645.0,1192.0,3.0,3.0,97.32489794493199,0.7966592059711931,0.3966933783651573,426.0,7.0,1.7387387387387387
10.24.0.193,325.9647435897436,101701.0,328.0,2.0,624.0,2.0,3.0,3.0,108.65491452991452,-0.19008438112187337,0.0,1.0,311.0,2.0
10.21.227.108,75.33333333333333,2260.0,216.0,1.0,30.0,1.0,3.0,3.0,37.666666666666664,0.9862225943947366,0.5,29.0,4.0,2.0
10.21.236.69,192.52884615384616,20023.0,290.0,1.0,104.0,1.0,3.0,3.0,96.26442307692308,0.9939496328222511,0.5,98.0,5.0,2.0
10.21.234.223,243.0,729.0,243.0,1.0,3.0,1.0,3.0,3.0,121.5,0.9959016393442623,0.5,1.0,1.0,2.0
10.21.226.161,82.0,902.0,92.0,1.0,11.0,1.0,3.0,3.0,41.0,0.987732848705134,0.5,6.0,2.0,2.0
10.21.227.136,77.75,622.0,132.0,1.125,9.0,2.0,3.0,3.0,36.125,0.986736206713968,0.5208333333333334,8.0,2.0,1.875
10.21.232.49,561.2631578947369,21328.0,5246.0,6.526315789473684,248.0,61.0,3.0,3.0,49.29337316969957,0.9902499349183463,0.5731787577872044,1.0,1.0,2.0
10.21.232.89,3083.714285714286,43172.0,7912.0,35.857142857142854,502.0,92.0,3.0,3.0,74.48253918190515,0.9972085084404334,0.866076036998897,1.0,1.0,2.0
fe80:0000:0000:0000:b6b5:2fff:fef8:127c,129.0,1548.0,172.0,1.5,18.0,2.0,3.0,3.0,50.166666666666664,0.9913627001528139,0.5833333333333334,1.0,1.0,0.0
10.21.226.109,70.0,1190.0,70.0,1.0,17.0,1.0,3.0,3.0,35.0,0.9859154929577464,0.5,17.0,1.0,2.0
10.21.233.187,70.0,420.0,70.0,1.0,6.0,1.0,3.0,3.0,35.0,0.9859154929577464,0.5,6.0,1.0,2.0
10.42.58.244,220.0,3960.0,330.0,3.3333333333333335,60.0,5.0,3.0,3.0,46.93333333333333,0.9927599646412525,0.7111111111111111,16.0,1.0,1.0
10.21.229.87,67134.5,134269.0,110003.0,46.5,93.0,73.0,3.0,3.0,1321.0254182754184,-0.9313496563801775,-0.0472972972972973,1.0,2.0,1.0
10.21.232.50,3109.0,6218.0,3109.0,12.0,24.0,12.0,3.0,3.0,239.15384615384616,-0.3070739549839228,0.1538461538461538,1.0,2.0,1.0
10.21.227.117,243.0,486.0,243.0,1.0,2.0,1.0,3.0,3.0,121.5,0.9959016393442623,0.5,1.0,1.0,2.0
