agent_ip,src_ip,dest_ip,src_port,dest_port,proto,bytes_to_server,bytes_to_client,pkts_to_server,pkts_to_client,rule_level,total_bytes,total_packets,avg_packet_size,byte_asymmetry,packet_asymmetry,proto_num,src_ip_num,dest_ip_num,port_diff,log_bytes,log_packets,label
10.21.232.55,10.21.227.108,10.21.239.255,137,137,UDP,92,0,1,0,3,92,1,46.0,0.989247311827957,0.5,2,7,70,0,4.532599493153256,0.6931471805599453,0
10.21.232.55,10.21.227.108,10.21.239.255,60517,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,7,70,-38295,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.227.108,10.21.239.255,59449,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,7,70,-37227,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,64144,59870,UDP,227,0,1,0,3,227,1,113.5,0.9956140350877192,0.5,2,41,70,-4274,5.429345628954441,0.6931471805599453,0
10.21.232.55,10.21.226.161,10.21.239.255,53698,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,3,70,-31476,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.232.16,10.21.239.255,55957,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,16,70,-33735,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,54573,59870,UDP,210,0,1,0,3,210,1,105.0,0.995260663507109,0.5,2,41,70,5297,5.351858133476067,0.6931471805599453,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2,30,70,0,4.465908118654584,0.6931471805599453,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,946,0,11,0,3,946,11,78.83333333333333,0.9989440337909188,0.9166666666666666,2,30,70,0,6.853299093186078,2.4849066497880004,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,1806,0,21,0,3,1806,21,82.0909090909091,0.9994465965688988,0.9545454545454546,2,30,70,0,7.499423290592229,3.091042453358316,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,2666,0,31,0,3,2666,31,83.3125,0.9996250468691412,0.96875,2,30,70,0,7.888709524182015,3.4657359027997265,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,3612,0,42,0,3,3612,42,84.0,0.9997232216994189,0.9767441860465116,2,30,70,0,8.19229373114764,3.7612001156935615,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,4472,0,52,0,3,4472,52,84.37735849056604,0.9997764363961548,0.981132075471698,2,30,70,0,8.405814603432848,3.970291913552122,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,5332,0,62,0,3,5332,62,84.63492063492063,0.9998124882805176,0.984126984126984,2,30,70,0,8.581669210600602,4.143134726391533,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,6192,0,72,0,3,6192,72,84.82191780821918,0.9998385273696108,0.9863013698630136,2,30,70,0,8.731174900938061,4.290459441148391,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,7052,0,82,0,3,7052,82,84.96385542168674,0.9998582163618318,0.9879518072289156,2,30,70,0,8.86120833720818,4.418840607796598,1
10.21.232.55,10.21.235.189,10.21.239.255,138,138,UDP,243,0,1,0,3,243,1,121.5,0.9959016393442623,0.5,2,39,70,0,5.497168225293202,0.6931471805599453,0
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,7912,0,92,0,3,7912,92,85.0752688172043,0.999873625679262,0.989247311827957,2,30,70,0,8.976262255609193,4.532599493153256,1
10.21.232.55,10.21.236.69,10.21.239.255,64283,59870,UDP,203,0,1,0,3,203,1,101.5,0.9950980392156864,0.5,2,41,70,-4413,5.318119993844216,0.6931471805599453,0
10.21.232.55,10.21.227.108,10.21.239.255,54570,3289,UDP,60,0,1,0,3,60,1,30.0,0.9836065573770492,0.5,2,7,70,-51281,4.110873864173311,0.6931471805599453,0
10.21.232.55,10.21.227.108,10.21.239.255,60009,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,7,70,-37787,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,57251,3289,UDP,60,0,1,0,3,60,1,30.0,0.9836065573770492,0.5,2,41,70,-53962,4.110873864173311,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,52123,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,41,70,-29901,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,54717,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,41,70,-32495,4.262679877041316,0.6931471805599453,0
10.21.232.55,10.21.236.69,10.21.239.255,58448,59870,UDP,248,0,1,0,3,248,1,124.0,0.9959839357429718,0.5,2,41,70,1422,5.517452896464707,0.6931471805599453,0
10.21.232.55,10.21.227.136,10.21.239.255,55915,22222,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2,10,70,-33693,4.262679877041316,0.6931471805599453,0
10.21.232.55,192.168.100.16,192.168.100.255,57621,57621,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2,58,89,0,4.465908118654584,0.6931471805599453,0
