agent_ip,src_ip,dest_ip,src_port,dest_port,proto,bytes_to_server,bytes_to_client,pkts_to_server,pkts_to_client,rule_level
10.21.232.55,10.21.227.108,10.21.239.255,137,137,UDP,92,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,60517,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,59449,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,64144,59870,UDP,227,0,1,0,3
10.21.232.55,10.21.226.161,10.21.239.255,53698,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.16,10.21.239.255,55957,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,54573,59870,UDP,210,0,1,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,946,0,11,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,1806,0,21,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,2666,0,31,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,3612,0,42,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,4472,0,52,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,5332,0,62,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,6192,0,72,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,7052,0,82,0,3
10.21.232.55,10.21.235.189,10.21.239.255,138,138,UDP,243,0,1,0,3
10.21.232.55,10.21.232.89,10.21.239.255,57621,57621,UDP,7912,0,92,0,3
10.21.232.55,10.21.236.69,10.21.239.255,64283,59870,UDP,203,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,54570,3289,UDP,60,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,60009,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,57251,3289,UDP,60,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,52123,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,54717,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.236.69,10.21.239.255,58448,59870,UDP,248,0,1,0,3
10.21.232.55,10.21.227.136,10.21.239.255,55915,22222,UDP,70,0,1,0,3
10.21.232.55,192.168.100.16,192.168.100.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.232.183,10.21.239.255,57621,57621,UDP,86,0,1,0,3
10.21.232.55,10.21.226.109,10.21.239.255,56146,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,168,0,2,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1200,0,14,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2404,0,28,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3608,0,42,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4640,0,54,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5758,0,67,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,6790,0,79,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,7822,0,91,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,9026,0,105,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,10058,0,117,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,11176,0,130,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,12208,0,142,0,3
10.21.232.55,10.21.236.69,10.21.239.255,64554,59870,UDP,199,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,13326,0,155,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,14186,0,165,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,15046,0,175,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,15906,0,185,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,602,0,7,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1462,0,17,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2322,0,27,0,3
10.21.232.55,10.21.226.109,10.21.239.255,53702,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3182,0,37,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4042,0,47,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4902,0,57,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,344,0,4,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,1204,0,14,0,3
10.21.232.55,10.21.236.69,10.21.239.255,61403,59870,UDP,255,0,1,0,3
10.21.232.55,10.21.227.108,10.21.239.255,54254,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,2064,0,24,0,3
10.21.232.55,10.21.227.108,10.21.239.255,61737,22222,UDP,70,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,3784,0,44,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,4644,0,54,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,5934,0,69,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,7052,0,82,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,7912,0,92,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,9030,0,105,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,10148,0,118,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,11180,0,130,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,12212,0,142,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,13244,0,154,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,14362,0,167,0,3
10.21.232.55,10.21.236.69,10.21.239.255,62206,59870,UDP,247,0,1,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,15222,0,177,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,16082,0,187,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,16942,0,197,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,17802,0,207,0,3
10.21.232.55,10.21.232.162,10.21.239.255,57621,57621,UDP,18662,0,217,0,3
