agent_ip,src_ip,dest_ip,src_port,dest_port,proto,bytes_to_server,bytes_to_client,pkts_to_server,pkts_to_client,rule_level,total_bytes,total_packets,avg_packet_size,byte_asymmetry,packet_asymmetry,proto_num,src_ip_num,dest_ip_num,port_diff,log_bytes,log_packets,label,ocsvm_pred,ocsvm_score
10.21.232.55,10.21.232.55,10.24.0.193,42004.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-41951.0,4.890349128221754,0.6931471805599453,0,0,-0.6737164368633128
10.21.232.55,10.24.0.193,10.21.232.55,53.0,42004.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,41951.0,5.796057750765372,1.0986122886681096,0,0,-0.23470254132943325
10.21.232.55,10.21.227.108,10.21.239.255,138.0,138.0,UDP,216,0,1,0,3,216,1,108.0,0.9953917050691244,0.5,2.0,4,33,0.0,5.37989735354046,0.6931471805599453,0,0,-3.553273406664559e-05
10.21.232.55,10.21.232.55,10.24.0.193,51265.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-51212.0,4.890349128221754,0.6931471805599453,0,0,-0.49389489805383446
10.21.232.55,10.24.0.193,10.21.232.55,53.0,51265.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,51212.0,5.796057750765372,1.0986122886681096,0,0,-0.17198240416362864
10.21.232.55,10.21.227.108,10.21.239.255,64204.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-41982.0,4.262679877041316,0.6931471805599453,0,0,-0.2183839000733414
10.21.232.55,10.21.227.108,10.21.239.255,57440.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-35218.0,4.262679877041316,0.6931471805599453,0,0,-0.38347861681667217
10.21.232.55,10.21.232.55,10.24.0.193,34874.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-34821.0,4.890349128221754,0.6931471805599453,0,0,-0.7426502985535568
10.21.232.55,10.24.0.193,10.21.232.55,53.0,34874.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,34821.0,5.796057750765372,1.0986122886681096,0,0,-0.21280068811814346
10.21.232.55,10.21.236.69,10.21.239.255,17500.0,17500.0,UDP,290,0,1,0,3,290,1,145.0,0.9965635738831616,0.5,2.0,23,33,0.0,5.673323267171493,0.6931471805599453,0,0,-0.3858999212624328
10.21.232.55,10.21.236.69,10.21.239.255,53950.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,23,33,-31728.0,4.262679877041316,0.6931471805599453,0,0,-0.6107356626541027
10.21.232.55,10.21.236.69,10.21.239.255,49967.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,23,33,-27745.0,4.262679877041316,0.6931471805599453,0,0,-0.6825494848328733
10.21.232.55,10.21.232.55,10.24.0.193,49350.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-49297.0,4.890349128221754,0.6931471805599453,0,0,-0.5391724187517579
